ID,Sample,T,SE_T,D47,SE_D47,Dataset,Tcorrel_01,Tcorrel_02,Tcorrel_03,Tcorrel_04,Tcorrel_05,Tcorrel_06,Tcorrel_07,Tcorrel_08,Tcorrel_09,Tcorrel_10,Tcorrel_11,Tcorrel_12,D47correl_01,D47correl_02,D47correl_03,D47correl_04,D47correl_05,D47correl_06,D47correl_07,D47correl_08,D47correl_09,D47correl_10,D47correl_11,D47correl_12
01,CA5_05,5.00,1.00,0.6629,0.0103,Jautzy et al. (2020),1,0,0,0,0,0,0,0,0,0,0,0,1,0.207958,0.189960,0.177018,0,0.095724,0,0,0,0,0,0
02,CA5_07,5.00,1.00,0.6685,0.0106,Jautzy et al. (2020),0,1,0,0,0,0,0,0,0,0,0,0,0.207958,1,0.186519,0.152040,0,0.106434,0,0,0,0,0,0
03,CA25,25.00,1.00,0.5937,0.0093,Jautzy et al. (2020),0,0,1,0,0,0,0,0,0,0,0,0,0.189960,0.186519,1,0.152233,0,0.126738,0,0,0,0,0,0
04,CA50,50.00,2.00,0.5398,0.0097,Jautzy et al. (2020),0,0,0,1,0,0,0,0,0,0,0,0,0.177018,0.152040,0.152233,1,0,0.104185,0,0,0,0,0,0
05,CA70,70.00,2.00,0.4910,0.0086,Jautzy et al. (2020),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.011408,0.062582,0.094055,0.069206,0.064672,0
06,CA90,90.00,2.00,0.4596,0.0094,Jautzy et al. (2020),0,0,0,0,0,1,0,0,0,0,0,0,0.095724,0.106434,0.126738,0.104185,0,1,0,0,0,0,0,0
07,CA120,120.00,2.00,0.4075,0.0097,Jautzy et al. (2020),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.011408,0,1,0.168126,0.092242,0.003354,0.001272,0
08,CA170,170.00,2.00,0.3487,0.0094,Jautzy et al. (2020),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.062582,0,0.168126,1,0.200141,0.009796,0.005185,0
09,CA200,200.00,2.00,0.3324,0.0095,Jautzy et al. (2020),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.094055,0,0.092242,0.200141,1,0.034391,0.011887,0
10,CA250_06,250.00,2.00,0.2896,0.0082,Jautzy et al. (2020),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.069206,0,0.003354,0.009796,0.034391,1,0.211656,0
11,CA250_09,250.00,2.00,0.3110,0.0082,Jautzy et al. (2020),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.064672,0,0.001272,0.005185,0.011887,0.211656,1,0
12,CA726,726.85,10.00,0.2049,0.0065,Jautzy et al. (2020),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
