Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
ETH-1,434,2.02,37.58,0.2052,,,0.0402,
ETH-2,383,-10.17,20.47,0.2085,,,0.0381,
ETH-3,407,1.71,38.09,0.6132,,,0.0377,
ETH-4,360,-10.25,20.34,0.4511,,,0.0366,
CA120,24,-2.25,11.16,0.4075,0.0097,± 0.0189,0.0366,0.550
CA170,25,-4.07,7.48,0.3487,0.0094,± 0.0184,0.0324,0.542
CA200,24,-5.29,5.20,0.3324,0.0095,± 0.0186,0.0416,0.615
CA25,24,-1.20,27.30,0.5937,0.0093,± 0.0183,0.0416,0.429
CA250_06,30,-7.27,3.01,0.2896,0.0082,± 0.0161,0.0477,0.183
CA250_09,32,-6.63,4.58,0.3110,0.0082,± 0.0160,0.0530,0.001
CA50,21,0.77,22.26,0.5398,0.0097,± 0.0191,0.0389,0.796
CA5_05,21,-0.66,31.68,0.6629,0.0103,± 0.0202,0.0241,0.032
CA5_07,19,1.27,31.19,0.6685,0.0106,± 0.0208,0.0304,0.272
CA70,24,-0.86,18.92,0.4910,0.0086,± 0.0168,0.0441,0.191
CA726,100,2.07,37.58,0.2049,0.0065,± 0.0127,0.0476,0.001
CA90,22,-0.77,17.15,0.4596,0.0094,± 0.0185,0.0712,0.000
